"site","campaign","height_bin_num","height_mid_m","stem_SA_m2","flux_nmol_m2_s","total_flux_nmol_s","scenario"
"SRS5","Mar 2023",6.5,6.75,82.16338252,0.00708962947820804,0.582507938743075,"exponential"
"SRS5","Mar 2023",7,7.25,74.17819774,0.0057562467884089,0.426988012510836,"exponential"
"SRS5","Mar 2023",7.5,7.75,61.76272611,0.00467364016566954,0.288656757488942,"exponential"
"SRS5","Mar 2023",8,8.25,51.659799563,0.00379464487904577,0.196030593864269,"exponential"
"SRS5","Mar 2023",8.5,8.75,42.737087319,0.00308096670852826,0.131671543249304,"exponential"
"SRS5","Mar 2023",9,9.25,40.767775377,0.00250151362291547,0.101981145481524,"exponential"
"SRS5","Mar 2023",9.5,9.75,37.105875599,0.00203104122751812,0.0753635631247277,"exponential"
"SRS5","Mar 2023",10,10.25,31.128182847,0.001649052969406,0.0513320223560582,"exponential"
"SRS5","Mar 2023",10.5,10.75,26.967752973,0.00133890718665014,0.0361073182633555,"exponential"
"SRS5","Mar 2023",11,11.25,19.787765177,0.00108709209935757,0.0215111231878595,"exponential"
"SRS5","Mar 2023",11.5,11.75,13.567057665,0.000882637156831129,0.0119747892039996,"exponential"
"SRS5","Mar 2023",12,12.25,8.243451724,0.000716635095664228,0.00590754681483219,"exponential"
"SRS5","Mar 2023",12.5,12.75,3.710412687,0.000581853886801568,0.0021589180435688,"exponential"
"SRS5","Mar 2023",13,13.25,2.392276499,0.000472421665690677,0.00113016324845024,"exponential"
"SRS5","Mar 2023",13.5,13.75,0.424985418,0.000383570919223001,0.000163012047438631,"exponential"
"SRS5","Mar 2023",14,14.25,0.050380025,0.000311430784738629,1.56898907209018e-05,"exponential"
"SRS6","Mar 2023",0,0.25,47.73429654,0.233217122330631,11.1324552755358,"exponential"
"SRS6","Mar 2023",0.5,0.75,35.678437568,0.186559403337706,6.65614802470767,"exponential"
"SRS6","Mar 2023",1,1.25,103.33855613,0.149236087924877,15.4218418486465,"exponential"
"SRS6","Mar 2023",1.5,1.75,103.03794731,0.119379723244539,12.3006416335532,"exponential"
"SRS6","Mar 2023",2,2.25,92.56806634,0.0954964614799919,8.83992278151514,"exponential"
