"site","campaign","scenario","tide_state","disturbance_level","cwd_SA_m2","cwd_mg","total_mg"
"SRS5","Mar 2023","exponential","high_tide","healthy",100,0.0177679278828394,1.09335724959364
"SRS5","Mar 2023","zero_above_max","high_tide","healthy",100,0.0177679278828394,1.08212954478411
"SRS5","Mar 2023","exponential","low_tide","healthy",100,0.0177679278828394,0.909786319762404
"SRS5","Mar 2023","zero_above_max","low_tide","healthy",100,0.0177679278828394,0.898558614952878
"SRS6","Mar 2023","exponential","high_tide","healthy",100,0.0184341609705473,1.85596570092959
"SRS6","Mar 2023","zero_above_max","high_tide","healthy",100,0.0184341609705473,1.83868362638673
"SRS6","Mar 2023","exponential","low_tide","healthy",100,0.0184341609705473,5.19366623738875
"SRS6","Mar 2023","zero_above_max","low_tide","healthy",100,0.0184341609705473,5.17638416284589
"CP40","Oct 2022","exponential","fixed","ghost",200,0.729300845354074,75.4137384988832
"CP40","Oct 2022","zero_above_max","fixed","ghost",200,0.729300845354074,76.9015278393455
"FLM30","Oct 2022","exponential","fixed","ghost",200,0,26.6129869608036
"FLM30","Oct 2022","zero_above_max","fixed","ghost",200,0,28.2785888735438
"SRS5","Oct 2022","exponential","high_tide","healthy",200,0.111553907440316,1.01517184161519
"SRS5","Oct 2022","zero_above_max","high_tide","healthy",200,0.111553907440316,1.0044652879914
"SRS5","Oct 2022","exponential","low_tide","healthy",200,0.111553907440316,2.12918073845947
"SRS5","Oct 2022","zero_above_max","low_tide","healthy",200,0.111553907440316,2.11847418483569
"SRS6","Oct 2022","exponential","high_tide","healthy",200,0.0926278669475797,5.31126655197914
"SRS6","Oct 2022","zero_above_max","high_tide","healthy",200,0.0926278669475797,5.51940974876042
"SRS6","Oct 2022","exponential","low_tide","healthy",200,0.0926278669475797,29.9150384522997
"SRS6","Oct 2022","zero_above_max","low_tide","healthy",200,0.0926278669475797,30.123181649081
"CP40","Mar 2023","exponential","fixed","ghost",200,0.0272301139461956,20.02969188831
"CP40","Mar 2023","zero_above_max","fixed","ghost",200,0.0272301139461956,20.4338213081986
"FLM30","Mar 2023","exponential","fixed","ghost",200,0,7.74321299342646
"FLM30","Mar 2023","zero_above_max","fixed","ghost",200,0,8.47946257427194
"SRS5","Mar 2023","exponential","high_tide","healthy",200,0.0355358557656787,1.11112517747648
"SRS5","Mar 2023","zero_above_max","high_tide","healthy",200,0.0355358557656787,1.09989747266695
"SRS5","Mar 2023","exponential","low_tide","healthy",200,0.0355358557656787,0.927554247645244
"SRS5","Mar 2023","zero_above_max","low_tide","healthy",200,0.0355358557656787,0.916326542835717
"SRS6","Mar 2023","exponential","high_tide","healthy",200,0.0368683219410947,1.87439986190013
"SRS6","Mar 2023","zero_above_max","high_tide","healthy",200,0.0368683219410947,1.85711778735728
"SRS6","Mar 2023","exponential","low_tide","healthy",200,0.0368683219410947,5.2121003983593
"SRS6","Mar 2023","zero_above_max","low_tide","healthy",200,0.0368683219410947,5.19481832381644
