"","source_file","...1","segment_class","height_bin","height_bin_num","Total_volume_m3","Total_surface_area_m2","site"
"147","SRS6_plot_component_summary.csv",5,"trunk","0.5–1",0.5,0.999950811,30.69988425,"SRS6"
"148","SRS6_plot_component_summary.csv",6,"branch","1–1.5",1,0.225126808,23.84078418,"SRS6"
"149","SRS6_plot_component_summary.csv",7,"root","1-1.5",1,0.016833547,2.739651132,"SRS6"
"150","SRS6_plot_component_summary.csv",8,"trunk","1–1.5",1,2.375969954,79.49777195,"SRS6"
"151","SRS6_plot_component_summary.csv",9,"branch","1.5–2",1.5,0.305721857,31.74531744,"SRS6"
"152","SRS6_plot_component_summary.csv",10,"root","1.5-2.0",1.5,0.001021696,0.16531337,"SRS6"
"153","SRS6_plot_component_summary.csv",11,"trunk","1.5–2",1.5,2.670681253,71.29262987,"SRS6"
"154","SRS6_plot_component_summary.csv",12,"branch","2–2.5",2,0.323719347,35.83938701,"SRS6"
"155","SRS6_plot_component_summary.csv",13,"trunk","2–2.5",2,2.105444848,56.72867933,"SRS6"
"156","SRS6_plot_component_summary.csv",14,"branch","2.5–3",2.5,0.291478504,32.51535767,"SRS6"
"157","SRS6_plot_component_summary.csv",15,"trunk","2.5–3",2.5,1.72094054,46.3760262,"SRS6"
"158","SRS6_plot_component_summary.csv",16,"branch","3–3.5",3,0.277888955,32.00411763,"SRS6"
"159","SRS6_plot_component_summary.csv",17,"trunk","3–3.5",3,2.130239629,50.93416078,"SRS6"
"160","SRS6_plot_component_summary.csv",18,"branch","3.5–4",3.5,0.286360222,29.45655786,"SRS6"
"161","SRS6_plot_component_summary.csv",19,"trunk","3.5–4",3.5,1.543304104,39.27854824,"SRS6"
"162","SRS6_plot_component_summary.csv",20,"branch","4–4.5",4,0.300651954,28.59480913,"SRS6"
"163","SRS6_plot_component_summary.csv",21,"trunk","4–4.5",4,1.591011476,40.18636415,"SRS6"
"164","SRS6_plot_component_summary.csv",22,"branch","4.5–5",4.5,0.338969828,34.11529334,"SRS6"
"165","SRS6_plot_component_summary.csv",23,"trunk","4.5–5",4.5,1.58852392,37.77766768,"SRS6"
"166","SRS6_plot_component_summary.csv",24,"branch","5–5.5",5,0.377236798,36.96512157,"SRS6"
"167","SRS6_plot_component_summary.csv",25,"trunk","5–5.5",5,1.286222928,32.38313671,"SRS6"
"168","SRS6_plot_component_summary.csv",26,"branch","5.5–6",5.5,0.408311158,39.58950107,"SRS6"
"169","SRS6_plot_component_summary.csv",27,"trunk","5.5–6",5.5,1.335940353,33.49311423,"SRS6"
"170","SRS6_plot_component_summary.csv",28,"branch","6–6.5",6,0.517150806,42.03611041,"SRS6"
"171","SRS6_plot_component_summary.csv",29,"trunk","6–6.5",6,1.22193896,29.59508984,"SRS6"
"172","SRS6_plot_component_summary.csv",30,"branch","6.5–7",6.5,0.51528459,42.60753231,"SRS6"
"173","SRS6_plot_component_summary.csv",31,"trunk","6.5–7",6.5,0.947190415,24.83398186,"SRS6"
"174","SRS6_plot_component_summary.csv",32,"branch","7–7.5",7,0.439807991,43.27248476,"SRS6"
"175","SRS6_plot_component_summary.csv",33,"trunk","7–7.5",7,0.891363863,21.99076744,"SRS6"
"176","SRS6_plot_component_summary.csv",34,"branch","7.5–8",7.5,0.437967939,44.18289507,"SRS6"
"177","SRS6_plot_component_summary.csv",35,"trunk","7.5–8",7.5,0.841842068,22.58655057,"SRS6"
"178","SRS6_plot_component_summary.csv",36,"branch","8–8.5",8,0.467538381,46.2407785,"SRS6"
"179","SRS6_plot_component_summary.csv",37,"trunk","8–8.5",8,0.713003188,18.30558488,"SRS6"
"180","SRS6_plot_component_summary.csv",38,"branch","8.5–9",8.5,0.456063255,46.83287855,"SRS6"
"181","SRS6_plot_component_summary.csv",39,"trunk","8.5–9",8.5,0.626976689,16.77958735,"SRS6"
"182","SRS6_plot_component_summary.csv",40,"branch","9–9.5",9,0.480342438,48.1427438,"SRS6"
"183","SRS6_plot_component_summary.csv",41,"trunk","9–9.5",9,0.703693838,18.21773772,"SRS6"
"184","SRS6_plot_component_summary.csv",42,"branch","9.5–10",9.5,0.472901739,49.21400516,"SRS6"
"185","SRS6_plot_component_summary.csv",43,"trunk","9.5–10",9.5,0.604101698,16.58802849,"SRS6"
"186","SRS6_plot_component_summary.csv",44,"branch","10–10.5",10,0.468167215,50.89160081,"SRS6"
"187","SRS6_plot_component_summary.csv",45,"trunk","10–10.5",10,0.546097197,13.96626216,"SRS6"
"188","SRS6_plot_component_summary.csv",46,"branch","10.5–11",10.5,0.491494327,48.66311476,"SRS6"
"189","SRS6_plot_component_summary.csv",47,"trunk","10.5–11",10.5,0.327050264,9.47547736,"SRS6"
"190","SRS6_plot_component_summary.csv",48,"branch","11–11.5",11,0.453760711,48.28510784,"SRS6"
"191","SRS6_plot_component_summary.csv",49,"trunk","11–11.5",11,0.220628263,6.896993198,"SRS6"
"192","SRS6_plot_component_summary.csv",50,"branch","11.5–12",11.5,0.456520101,47.67469249,"SRS6"
"193","SRS6_plot_component_summary.csv",51,"trunk","11.5–12",11.5,0.148069743,4.886214936,"SRS6"
"194","SRS6_plot_component_summary.csv",52,"branch","12–12.5",12,0.356193472,41.40782122,"SRS6"
"195","SRS6_plot_component_summary.csv",53,"trunk","12–12.5",12,0.120334647,3.968053569,"SRS6"
"196","SRS6_plot_component_summary.csv",54,"branch","12.5–13",12.5,0.282595647,34.34973821,"SRS6"
"197","SRS6_plot_component_summary.csv",55,"trunk","12.5–13",12.5,0.100536624,3.075344067,"SRS6"
"198","SRS6_plot_component_summary.csv",56,"branch","13–13.5",13,0.220930783,29.37672245,"SRS6"
"199","SRS6_plot_component_summary.csv",57,"trunk","13–13.5",13,0.069147273,1.814553192,"SRS6"
"200","SRS6_plot_component_summary.csv",58,"branch","13.5–14",13.5,0.190295424,24.78121768,"SRS6"
"201","SRS6_plot_component_summary.csv",59,"trunk","13.5–14",13.5,0.027985021,0.652660659,"SRS6"
